Description,Year,Population,Count or Estimate,State or County Release
"Benton County, IA",2017,25651,Estimate,County
"Benton County, IA",2018,25546,Estimate,County
"Benton County, IA",2019,25544,Estimate,County
"Benton County, IA",2020,25414,Estimate,County
"Black Hawk County, IA",2015,133764,Estimate,County
"Black Hawk County, IA",2016,133144,Estimate,County
"Black Hawk County, IA",2017,132278,Estimate,County
"Black Hawk County, IA",2018,131769,Estimate,County
"Black Hawk County, IA",2019,131089,Estimate,County
"Black Hawk County, IA",2020,130786,Estimate,County
"Boone County, IA",2015,26468,Estimate,County
"Boone County, IA",2016,26434,Estimate,County
"Boone County, IA",2017,26498,Estimate,County
"Boone County, IA",2018,26356,Estimate,County
"Boone County, IA",2019,26338,Estimate,County
"Boone County, IA",2020,26277,Estimate,County
"Bremer County, IA",2015,24755,Estimate,County
"Bremer County, IA",2016,24796,Estimate,County
"Bremer County, IA",2017,24861,Estimate,County
"Bremer County, IA",2018,25022,Estimate,County
"Bremer County, IA",2019,25170,Estimate,County
"Bremer County, IA",2020,25311,Estimate,County
"Buchanan County, IA",2015,21110,Estimate,County
"Buchanan County, IA",2016,20999,Estimate,County
"Buchanan County, IA",2017,21133,Estimate,County
"Buchanan County, IA",2018,21140,Estimate,County
"Buchanan County, IA",2019,21148,Estimate,County
"Buchanan County, IA",2020,21287,Estimate,County
"Buena Vista County, IA",2015,20373,Estimate,County
"Buena Vista County, IA",2016,20327,Estimate,County
"Buena Vista County, IA",2017,20154,Estimate,County
"Buena Vista County, IA",2018,19807,Estimate,County
"Buena Vista County, IA",2019,19690,Estimate,County
"Buena Vista County, IA",2020,19772,Estimate,County
"Butler County, IA",2015,14880,Estimate,County
"Butler County, IA",2016,14694,Estimate,County
"Butler County, IA",2017,14593,Estimate,County
"Butler County, IA",2018,14516,Estimate,County
"Butler County, IA",2019,14404,Estimate,County
"Butler County, IA",2020,14333,Estimate,County
"Calhoun County, IA",2015,9801,Estimate,County
"Calhoun County, IA",2016,9808,Estimate,County
"Calhoun County, IA",2017,9730,Estimate,County
"Calhoun County, IA",2018,9653,Estimate,County
"Calhoun County, IA",2019,9616,Estimate,County
"Calhoun County, IA",2020,9473,Estimate,County
"Carroll County, IA",2015,20421,Estimate,County
"Carroll County, IA",2016,20362,Estimate,County
"Carroll County, IA",2017,20256,Estimate,County
"Carroll County, IA",2018,20101,Estimate,County
"Carroll County, IA",2019,20118,Estimate,County
"Carroll County, IA",2020,19914,Estimate,County
"Cass County, IA",2015,13354,Estimate,County
"Cass County, IA",2016,13198,Estimate,County
"Cass County, IA",2017,13155,Estimate,County
"Cass County, IA",2018,12959,Estimate,County
"Cass County, IA",2019,12822,Estimate,County
"Cass County, IA",2020,12817,Estimate,County
"Cedar County, IA",2015,18257,Estimate,County
"Cedar County, IA",2016,18351,Estimate,County
"Cedar County, IA",2017,18488,Estimate,County
"Cedar County, IA",2018,18508,Estimate,County
"Cedar County, IA",2019,18541,Estimate,County
"Cedar County, IA",2020,18485,Estimate,County
"Cerro Gordo County, IA",2015,43006,Estimate,County
"Cerro Gordo County, IA",2016,43107,Estimate,County
"Cerro Gordo County, IA",2017,43030,Estimate,County
"Cerro Gordo County, IA",2018,42643,Estimate,County
"Cerro Gordo County, IA",2019,42477,Estimate,County
"Cerro Gordo County, IA",2020,42103,Estimate,County
"Cherokee County, IA",2015,11488,Estimate,County
"Cherokee County, IA",2016,11386,Estimate,County
"Cherokee County, IA",2017,11315,Estimate,County
"Cherokee County, IA",2018,11281,Estimate,County
"Cherokee County, IA",2019,11231,Estimate,County
"Cherokee County, IA",2020,11190,Estimate,County
"Chickasaw County, IA",2015,12152,Estimate,County
"Chickasaw County, IA",2016,12098,Estimate,County
"Chickasaw County, IA",2017,12008,Estimate,County
"Chickasaw County, IA",2018,11965,Estimate,County
"Chickasaw County, IA",2019,11943,Estimate,County
"Chickasaw County, IA",2020,11834,Estimate,County
"Clarke County, IA",2015,9213,Estimate,County
"Clarke County, IA",2016,9293,Estimate,County
"Clarke County, IA",2017,9395,Estimate,County
"Clarke County, IA",2018,9489,Estimate,County
"Clarke County, IA",2019,9382,Estimate,County
"Clarke County, IA",2020,9353,Estimate,County
"Clay County, IA",2015,16498,Estimate,County
"Clay County, IA",2016,16301,Estimate,County
"Clay County, IA",2017,16151,Estimate,County
"Clay County, IA",2018,16167,Estimate,County
"Clay County, IA",2019,16094,Estimate,County
"Clay County, IA",2020,15976,Estimate,County
"Clayton County, IA",2015,17726,Estimate,County
"Clayton County, IA",2016,17657,Estimate,County
"Clayton County, IA",2017,17647,Estimate,County
"Clayton County, IA",2018,17515,Estimate,County
"Clayton County, IA",2019,17497,Estimate,County
"Clayton County, IA",2020,17321,Estimate,County
"Clinton County, IA",2015,47593,Estimate,County
"Clinton County, IA",2016,47285,Estimate,County
"Clinton County, IA",2017,46926,Estimate,County
"Clinton County, IA",2018,46506,Estimate,County
"Clinton County, IA",2019,46559,Estimate,County
"Clinton County, IA",2020,46392,Estimate,County
"Crawford County, IA",2015,17069,Estimate,County
"Crawford County, IA",2016,17107,Estimate,County
"Crawford County, IA",2017,17065,Estimate,County
"Crawford County, IA",2018,17081,Estimate,County
"Crawford County, IA",2019,16903,Estimate,County
"Crawford County, IA",2020,16834,Estimate,County
"Dallas County, IA",2015,80658,Estimate,County
"Dallas County, IA",2016,84278,Estimate,County
"Dallas County, IA",2017,87219,Estimate,County
"Dallas County, IA",2018,89999,Estimate,County
"Dallas County, IA",2019,93631,Estimate,County
"Dallas County, IA",2020,96963,Estimate,County
"Davis County, IA",2015,8774,Estimate,County
"Davis County, IA",2016,8893,Estimate,County
"Davis County, IA",2017,8969,Estimate,County
"Davis County, IA",2018,8967,Estimate,County
"Davis County, IA",2019,9006,Estimate,County
"Davis County, IA",2020,9051,Estimate,County
"Decatur County, IA",2015,8145,Estimate,County
"Decatur County, IA",2016,8061,Estimate,County
"Decatur County, IA",2017,7956,Estimate,County
"Decatur County, IA",2018,7901,Estimate,County
"Decatur County, IA",2019,7852,Estimate,County
"Decatur County, IA",2020,7769,Estimate,County
"Delaware County, IA",2015,17395,Estimate,County
"Delaware County, IA",2016,17289,Estimate,County
"Delaware County, IA",2017,17139,Estimate,County
"Delaware County, IA",2018,17115,Estimate,County
"Delaware County, IA",2019,17057,Estimate,County
"Delaware County, IA",2020,16937,Estimate,County
"Des Moines County, IA",2015,39909,Estimate,County
"Des Moines County, IA",2016,39719,Estimate,County
"Des Moines County, IA",2017,39400,Estimate,County
"Des Moines County, IA",2018,39259,Estimate,County
"Des Moines County, IA",2019,39051,Estimate,County
"Des Moines County, IA",2020,38708,Estimate,County
"Dickinson County, IA",2015,17009,Estimate,County
"Dickinson County, IA",2016,17135,Estimate,County
"Dickinson County, IA",2017,17167,Estimate,County
"Dickinson County, IA",2018,17159,Estimate,County
"Dickinson County, IA",2019,17290,Estimate,County
"Dickinson County, IA",2020,17549,Estimate,County
"Dubuque County, IA",2015,96934,Estimate,County
"Dubuque County, IA",2016,96819,Estimate,County
"Dubuque County, IA",2017,97162,Estimate,County
"Dubuque County, IA",2018,96961,Estimate,County
"Dubuque County, IA",2019,97432,Estimate,County
"Dubuque County, IA",2020,97590,Estimate,County
"Emmet County, IA",2015,9708,Estimate,County
"Emmet County, IA",2016,9588,Estimate,County
"Emmet County, IA",2017,9428,Estimate,County
"Emmet County, IA",2018,9276,Estimate,County
"Emmet County, IA",2019,9224,Estimate,County
"Emmet County, IA",2020,9095,Estimate,County
"Fayette County, IA",2015,20143,Estimate,County
"Fayette County, IA",2016,19858,Estimate,County
"Fayette County, IA",2017,19680,Estimate,County
"Fayette County, IA",2018,19643,Estimate,County
"Fayette County, IA",2019,19575,Estimate,County
"Fayette County, IA",2020,19258,Estimate,County
"Floyd County, IA",2015,15920,Estimate,County
"Floyd County, IA",2016,15870,Estimate,County
"Floyd County, IA",2017,15778,Estimate,County
"Floyd County, IA",2018,15784,Estimate,County
"Floyd County, IA",2019,15655,Estimate,County
"Floyd County, IA",2020,15480,Estimate,County
"Franklin County, IA",2015,10318,Estimate,County
"Franklin County, IA",2016,10173,Estimate,County
"Franklin County, IA",2017,10150,Estimate,County
"Franklin County, IA",2018,10081,Estimate,County
"Franklin County, IA",2019,10082,Estimate,County
"Franklin County, IA",2020,9971,Estimate,County
"Fremont County, IA",2015,6910,Estimate,County
"Fremont County, IA",2016,6945,Estimate,County
"Fremont County, IA",2017,6927,Estimate,County
"Fremont County, IA",2018,6956,Estimate,County
"Fremont County, IA",2019,6917,Estimate,County
"Fremont County, IA",2020,6729,Estimate,County
"Greene County, IA",2015,8947,Estimate,County
"Greene County, IA",2016,9011,Estimate,County
"Greene County, IA",2017,8959,Estimate,County
"Greene County, IA",2018,8971,Estimate,County
"Greene County, IA",2019,8881,Estimate,County
"Greene County, IA",2020,8795,Estimate,County
"Grundy County, IA",2015,12402,Estimate,County
"Grundy County, IA",2016,12303,Estimate,County
"Grundy County, IA",2017,12296,Estimate,County
"Grundy County, IA",2018,12268,Estimate,County
"Grundy County, IA",2019,12227,Estimate,County
"Grundy County, IA",2020,12217,Estimate,County
"Guthrie County, IA",2015,10653,Estimate,County
"Guthrie County, IA",2016,10661,Estimate,County
"Guthrie County, IA",2017,10652,Estimate,County
"Guthrie County, IA",2018,10719,Estimate,County
"Guthrie County, IA",2019,10741,Estimate,County
"Guthrie County, IA",2020,10737,Estimate,County
"Hamilton County, IA",2015,15220,Estimate,County
"Hamilton County, IA",2016,15090,Estimate,County
"Hamilton County, IA",2017,15034,Estimate,County
"Hamilton County, IA",2018,14887,Estimate,County
"Hamilton County, IA",2019,14797,Estimate,County
"Hamilton County, IA",2020,14716,Estimate,County
"Hancock County, IA",2015,11029,Estimate,County
"Hancock County, IA",2016,10887,Estimate,County
"Hancock County, IA",2017,10762,Estimate,County
"Hancock County, IA",2018,10726,Estimate,County
"Hancock County, IA",2019,10664,Estimate,County
"Hancock County, IA",2020,10507,Estimate,County
"Hardin County, IA",2015,17257,Estimate,County
"Hardin County, IA",2016,17193,Estimate,County
"Hardin County, IA",2017,17076,Estimate,County
"Hardin County, IA",2018,16965,Estimate,County
"Hardin County, IA",2019,16809,Estimate,County
"Hardin County, IA",2020,16575,Estimate,County
"Harrison County, IA",2015,14145,Estimate,County
"Harrison County, IA",2016,14051,Estimate,County
"Harrison County, IA",2017,14116,Estimate,County
"Harrison County, IA",2018,14086,Estimate,County
"Harrison County, IA",2019,14034,Estimate,County
"Harrison County, IA",2020,13928,Estimate,County
"Henry County, IA",2015,19862,Estimate,County
"Henry County, IA",2016,19842,Estimate,County
"Henry County, IA",2017,20056,Estimate,County
"Henry County, IA",2018,20015,Estimate,County
"Henry County, IA",2019,19835,Estimate,County
"Henry County, IA",2020,19697,Estimate,County
"Howard County, IA",2015,9322,Estimate,County
"Howard County, IA",2016,9261,Estimate,County
"Howard County, IA",2017,9235,Estimate,County
"Howard County, IA",2018,9185,Estimate,County
"Howard County, IA",2019,9146,Estimate,County
"Howard County, IA",2020,9176,Estimate,County
"Humboldt County, IA",2015,9562,Estimate,County
"Humboldt County, IA",2016,9530,Estimate,County
"Humboldt County, IA",2017,9568,Estimate,County
"Humboldt County, IA",2018,9520,Estimate,County
"Humboldt County, IA",2019,9499,Estimate,County
"Humboldt County, IA",2020,9473,Estimate,County
"Ida County, IA",2015,6967,Estimate,County
"Ida County, IA",2016,6960,Estimate,County
"Ida County, IA",2017,6864,Estimate,County
"Ida County, IA",2018,6829,Estimate,County
"Ida County, IA",2019,6822,Estimate,County
"Ida County, IA",2020,6833,Estimate,County
"Iowa County, IA",2015,16293,Estimate,County
"Iowa County, IA",2016,16202,Estimate,County
"Iowa County, IA",2017,16139,Estimate,County
"Iowa County, IA",2018,16150,Estimate,County
"Iowa County, IA",2019,16146,Estimate,County
"Iowa County, IA",2020,16138,Estimate,County
"Jackson County, IA",2015,19363,Estimate,County
"Jackson County, IA",2016,19406,Estimate,County
"Jackson County, IA",2017,19377,Estimate,County
"Jackson County, IA",2018,19375,Estimate,County
"Jackson County, IA",2019,19375,Estimate,County
"Jackson County, IA",2020,19205,Estimate,County
"Jasper County, IA",2015,36762,Estimate,County
"Jasper County, IA",2016,36722,Estimate,County
"Jasper County, IA",2017,36997,Estimate,County
"Jasper County, IA",2018,37121,Estimate,County
"Jasper County, IA",2019,37171,Estimate,County
"Jasper County, IA",2020,37148,Estimate,County
"Jefferson County, IA",2015,17913,Estimate,County
"Jefferson County, IA",2016,18027,Estimate,County
"Jefferson County, IA",2017,18108,Estimate,County
"Jefferson County, IA",2018,18102,Estimate,County
"Jefferson County, IA",2019,18180,Estimate,County
"Jefferson County, IA",2020,18347,Estimate,County
"Johnson County, IA",2015,145114,Estimate,County
"Johnson County, IA",2016,147167,Estimate,County
"Johnson County, IA",2017,149703,Estimate,County
"Johnson County, IA",2018,151003,Estimate,County
"Johnson County, IA",2019,152480,Estimate,County
"Johnson County, IA",2020,153740,Estimate,County
"Jones County, IA",2015,20435,Estimate,County
"Jones County, IA",2016,20385,Estimate,County
"Jones County, IA",2017,20610,Estimate,County
"Jones County, IA",2018,20627,Estimate,County
"Jones County, IA",2019,20634,Estimate,County
"Jones County, IA",2020,20617,Estimate,County
"Keokuk County, IA",2015,10169,Estimate,County
"Keokuk County, IA",2016,10171,Estimate,County
"Keokuk County, IA",2017,10144,Estimate,County
"Keokuk County, IA",2018,10221,Estimate,County
"Keokuk County, IA",2019,10192,Estimate,County
"Keokuk County, IA",2020,10085,Estimate,County
"Kossuth County, IA",2015,15150,Estimate,County
"Kossuth County, IA",2016,15104,Estimate,County
"Kossuth County, IA",2017,14935,Estimate,County
"Kossuth County, IA",2018,14834,Estimate,County
"Kossuth County, IA",2019,14769,Estimate,County
"Kossuth County, IA",2020,14680,Estimate,County
"Lee County, IA",2015,34916,Estimate,County
"Lee County, IA",2016,34441,Estimate,County
"Lee County, IA",2017,34239,Estimate,County
"Lee County, IA",2018,33929,Estimate,County
"Lee County, IA",2019,33641,Estimate,County
"Lee County, IA",2020,33480,Estimate,County
"Linn County, IA",2015,220392,Estimate,County
"Linn County, IA",2016,222299,Estimate,County
"Linn County, IA",2017,224553,Estimate,County
"Linn County, IA",2018,226060,Estimate,County
"Linn County, IA",2019,227241,Estimate,County
"Linn County, IA",2020,227854,Estimate,County
"Louisa County, IA",2015,11289,Estimate,County
"Louisa County, IA",2016,11219,Estimate,County
"Louisa County, IA",2017,11203,Estimate,County
"Louisa County, IA",2018,11135,Estimate,County
"Louisa County, IA",2019,11059,Estimate,County
"Louisa County, IA",2020,11011,Estimate,County
"Lucas County, IA",2015,8609,Estimate,County
"Lucas County, IA",2016,8565,Estimate,County
"Lucas County, IA",2017,8537,Estimate,County
"Lucas County, IA",2018,8590,Estimate,County
"Lucas County, IA",2019,8561,Estimate,County
"Lucas County, IA",2020,8518,Estimate,County
"Lyon County, IA",2015,11755,Estimate,County
"Lyon County, IA",2016,11800,Estimate,County
"Lyon County, IA",2017,11791,Estimate,County
"Lyon County, IA",2018,11849,Estimate,County
"Lyon County, IA",2019,11806,Estimate,County
"Lyon County, IA",2020,11756,Estimate,County
"Madison County, IA",2015,15727,Estimate,County
"Madison County, IA",2016,15800,Estimate,County
"Madison County, IA",2017,16005,Estimate,County
"Madison County, IA",2018,16140,Estimate,County
"Madison County, IA",2019,16273,Estimate,County
"Madison County, IA",2020,16521,Estimate,County
"Mahaska County, IA",2015,22417,Estimate,County
"Mahaska County, IA",2016,22325,Estimate,County
"Mahaska County, IA",2017,22422,Estimate,County
"Mahaska County, IA",2018,22203,Estimate,County
"Mahaska County, IA",2019,22429,Estimate,County
"Mahaska County, IA",2020,22370,Estimate,County
"Marion County, IA",2015,33123,Estimate,County
"Marion County, IA",2016,33157,Estimate,County
"Marion County, IA",2017,33107,Estimate,County
"Marion County, IA",2018,33251,Estimate,County
"Marion County, IA",2019,33280,Estimate,County
"Marion County, IA",2020,33168,Estimate,County
"Marshall County, IA",2015,40340,Estimate,County
"Marshall County, IA",2016,40122,Estimate,County
"Marshall County, IA",2017,40051,Estimate,County
"Marshall County, IA",2018,39879,Estimate,County
"Marshall County, IA",2019,39472,Estimate,County
"Marshall County, IA",2020,39495,Estimate,County
"Mills County, IA",2015,14885,Estimate,County
"Mills County, IA",2016,15041,Estimate,County
"Mills County, IA",2017,15060,Estimate,County
"Mills County, IA",2018,15122,Estimate,County
"Mills County, IA",2019,15124,Estimate,County
"Mills County, IA",2020,14766,Estimate,County
"Mitchell County, IA",2015,10670,Estimate,County
"Mitchell County, IA",2016,10650,Estimate,County
"Mitchell County, IA",2017,10544,Estimate,County
"Mitchell County, IA",2018,10536,Estimate,County
"Mitchell County, IA",2019,10565,Estimate,County
"Mitchell County, IA",2020,10647,Estimate,County
"Monona County, IA",2015,8865,Estimate,County
"Monona County, IA",2016,8779,Estimate,County
"Monona County, IA",2017,8721,Estimate,County
"Monona County, IA",2018,8649,Estimate,County
"Monona County, IA",2019,8626,Estimate,County
"Monona County, IA",2020,8598,Estimate,County
"Monroe County, IA",2015,7919,Estimate,County
"Monroe County, IA",2016,7835,Estimate,County
"Monroe County, IA",2017,7782,Estimate,County
"Monroe County, IA",2018,7738,Estimate,County
"Monroe County, IA",2019,7681,Estimate,County
"Monroe County, IA",2020,7770,Estimate,County
"Montgomery County, IA",2015,10153,Estimate,County
"Montgomery County, IA",2016,10135,Estimate,County
"Montgomery County, IA",2017,10119,Estimate,County
"Montgomery County, IA",2018,9976,Estimate,County
"Montgomery County, IA",2019,9917,Estimate,County
"Montgomery County, IA",2020,9935,Estimate,County
"Muscatine County, IA",2015,43069,Estimate,County
"Muscatine County, IA",2016,42942,Estimate,County
"Muscatine County, IA",2017,42825,Estimate,County
"Muscatine County, IA",2018,42784,Estimate,County
"Muscatine County, IA",2019,42571,Estimate,County
"Muscatine County, IA",2020,42394,Estimate,County
"O'Brien County, IA",2015,13927,Estimate,County
"O'Brien County, IA",2016,13921,Estimate,County
"O'Brien County, IA",2017,13777,Estimate,County
"O'Brien County, IA",2018,13806,Estimate,County
"O'Brien County, IA",2019,13796,Estimate,County
"O'Brien County, IA",2020,13679,Estimate,County
"Osceola County, IA",2015,6161,Estimate,County
"Osceola County, IA",2016,6089,Estimate,County
"Osceola County, IA",2017,6024,Estimate,County
"Osceola County, IA",2018,6020,Estimate,County
"Osceola County, IA",2019,5961,Estimate,County
"Osceola County, IA",2020,5987,Estimate,County
"Page County, IA",2015,15466,Estimate,County
"Page County, IA",2016,15343,Estimate,County
"Page County, IA",2017,15253,Estimate,County
"Page County, IA",2018,15227,Estimate,County
"Page County, IA",2019,15129,Estimate,County
"Page County, IA",2020,15073,Estimate,County
"Palo Alto County, IA",2015,9137,Estimate,County
"Palo Alto County, IA",2016,9032,Estimate,County
"Palo Alto County, IA",2017,9045,Estimate,County
"Palo Alto County, IA",2018,8910,Estimate,County
"Palo Alto County, IA",2019,8873,Estimate,County
"Palo Alto County, IA",2020,8845,Estimate,County
"Plymouth County, IA",2015,24912,Estimate,County
"Plymouth County, IA",2016,25207,Estimate,County
"Plymouth County, IA",2017,25053,Estimate,County
"Plymouth County, IA",2018,25024,Estimate,County
"Plymouth County, IA",2019,25200,Estimate,County
"Plymouth County, IA",2020,25219,Estimate,County
"Pocahontas County, IA",2015,6970,Estimate,County
"Pocahontas County, IA",2016,6845,Estimate,County
"Pocahontas County, IA",2017,6830,Estimate,County
"Pocahontas County, IA",2018,6709,Estimate,County
"Pocahontas County, IA",2019,6632,Estimate,County
"Pocahontas County, IA",2020,6607,Estimate,County
"Polk County, IA",2015,467517,Estimate,County
"Polk County, IA",2016,474593,Estimate,County
"Polk County, IA",2017,480962,Estimate,County
"Polk County, IA",2018,486222,Estimate,County
"Polk County, IA",2019,491031,Estimate,County
"Polk County, IA",2020,494281,Estimate,County
"Pottawattamie County, IA",2015,93657,Estimate,County
"Pottawattamie County, IA",2016,93649,Estimate,County
"Pottawattamie County, IA",2017,93563,Estimate,County
"Pottawattamie County, IA",2018,93445,Estimate,County
"Pottawattamie County, IA",2019,93405,Estimate,County
"Pottawattamie County, IA",2020,93328,Estimate,County
"Poweshiek County, IA",2015,18379,Estimate,County
"Poweshiek County, IA",2016,18297,Estimate,County
"Poweshiek County, IA",2017,18359,Estimate,County
"Poweshiek County, IA",2018,18461,Estimate,County
"Poweshiek County, IA",2019,18458,Estimate,County
"Poweshiek County, IA",2020,18381,Estimate,County
"Ringgold County, IA",2015,4978,Estimate,County
"Ringgold County, IA",2016,4994,Estimate,County
"Ringgold County, IA",2017,5029,Estimate,County
"Ringgold County, IA",2018,4921,Estimate,County
"Ringgold County, IA",2019,4866,Estimate,County
"Ringgold County, IA",2020,4801,Estimate,County
"Sac County, IA",2015,9961,Estimate,County
"Sac County, IA",2016,9804,Estimate,County
"Sac County, IA",2017,9797,Estimate,County
"Sac County, IA",2018,9675,Estimate,County
"Sac County, IA",2019,9675,Estimate,County
"Sac County, IA",2020,9603,Estimate,County
"Scott County, IA",2015,172072,Estimate,County
"Scott County, IA",2016,172361,Estimate,County
"Scott County, IA",2017,172691,Estimate,County
"Scott County, IA",2018,173019,Estimate,County
"Scott County, IA",2019,173400,Estimate,County
"Scott County, IA",2020,173216,Estimate,County
"Shelby County, IA",2015,11799,Estimate,County
"Shelby County, IA",2016,11662,Estimate,County
"Shelby County, IA",2017,11584,Estimate,County
"Shelby County, IA",2018,11564,Estimate,County
"Shelby County, IA",2019,11479,Estimate,County
"Shelby County, IA",2020,11430,Estimate,County
"Sioux County, IA",2015,34764,Estimate,County
"Sioux County, IA",2016,34955,Estimate,County
"Sioux County, IA",2017,34784,Estimate,County
"Sioux County, IA",2018,34767,Estimate,County
"Sioux County, IA",2019,34950,Estimate,County
"Sioux County, IA",2020,35043,Estimate,County
"Story County, IA",2015,96744,Estimate,County
"Story County, IA",2016,97012,Estimate,County
"Story County, IA",2017,97335,Estimate,County
"Story County, IA",2018,96749,Estimate,County
"Story County, IA",2019,97441,Estimate,County
"Story County, IA",2020,98237,Estimate,County
"Tama County, IA",2015,17214,Estimate,County
"Tama County, IA",2016,17212,Estimate,County
"Tama County, IA",2017,17040,Estimate,County
"Tama County, IA",2018,16853,Estimate,County
"Tama County, IA",2019,16904,Estimate,County
"Tama County, IA",2020,16801,Estimate,County
"Taylor County, IA",2015,6243,Estimate,County
"Taylor County, IA",2016,6219,Estimate,County
"Taylor County, IA",2017,6113,Estimate,County
"Taylor County, IA",2018,6190,Estimate,County
"Taylor County, IA",2019,6188,Estimate,County
"Taylor County, IA",2020,6092,Estimate,County
"Union County, IA",2015,12431,Estimate,County
"Union County, IA",2016,12366,Estimate,County
"Union County, IA",2017,12472,Estimate,County
"Union County, IA",2018,12297,Estimate,County
"Union County, IA",2019,12224,Estimate,County
"Union County, IA",2020,12157,Estimate,County
"Van Buren County, IA",2015,7297,Estimate,County
"Van Buren County, IA",2016,7243,Estimate,County
"Van Buren County, IA",2017,7155,Estimate,County
"Van Buren County, IA",2018,7008,Estimate,County
"Van Buren County, IA",2019,7044,Estimate,County
"Van Buren County, IA",2020,7069,Estimate,County
"Wapello County, IA",2015,35450,Estimate,County
"Wapello County, IA",2016,35270,Estimate,County
"Wapello County, IA",2017,35043,Estimate,County
"Wapello County, IA",2018,35060,Estimate,County
"Wapello County, IA",2019,35151,Estimate,County
"Wapello County, IA",2020,34985,Estimate,County
"Warren County, IA",2015,48486,Estimate,County
"Warren County, IA",2016,49383,Estimate,County
"Warren County, IA",2017,50087,Estimate,County
"Warren County, IA",2018,51053,Estimate,County
"Warren County, IA",2019,51548,Estimate,County
"Warren County, IA",2020,52265,Estimate,County
"Washington County, IA",2015,22160,Estimate,County
"Washington County, IA",2016,22147,Estimate,County
"Washington County, IA",2017,22236,Estimate,County
"Washington County, IA",2018,22095,Estimate,County
"Washington County, IA",2019,22030,Estimate,County
"Washington County, IA",2020,21992,Estimate,County
"Wayne County, IA",2015,6359,Estimate,County
"Wayne County, IA",2016,6438,Estimate,County
"Wayne County, IA",2017,6488,Estimate,County
"Wayne County, IA",2018,6376,Estimate,County
"Wayne County, IA",2019,6413,Estimate,County
"Wayne County, IA",2020,6415,Estimate,County
"Webster County, IA",2015,37089,Estimate,County
"Webster County, IA",2016,36813,Estimate,County
"Webster County, IA",2017,36650,Estimate,County
"Webster County, IA",2018,36361,Estimate,County
"Webster County, IA",2019,35982,Estimate,County
"Webster County, IA",2020,35934,Estimate,County
"Winnebago County, IA",2015,10612,Estimate,County
"Winnebago County, IA",2016,10599,Estimate,County
"Winnebago County, IA",2017,10582,Estimate,County
"Winnebago County, IA",2018,10555,Estimate,County
"Winnebago County, IA",2019,10357,Estimate,County
"Winnebago County, IA",2020,10277,Estimate,County
"Winneshiek County, IA",2015,20756,Estimate,County
"Winneshiek County, IA",2016,20432,Estimate,County
"Winneshiek County, IA",2017,20140,Estimate,County
"Winneshiek County, IA",2018,20026,Estimate,County
"Winneshiek County, IA",2019,19992,Estimate,County
"Winneshiek County, IA",2020,19862,Estimate,County
"Woodbury County, IA",2015,102532,Estimate,County
"Woodbury County, IA",2016,102654,Estimate,County
"Woodbury County, IA",2017,102098,Estimate,County
"Woodbury County, IA",2018,102415,Estimate,County
"Woodbury County, IA",2019,103132,Estimate,County
"Woodbury County, IA",2020,103138,Estimate,County
"Worth County, IA",2015,7503,Estimate,County
"Worth County, IA",2016,7470,Estimate,County
"Worth County, IA",2017,7456,Estimate,County
"Worth County, IA",2018,7416,Estimate,County
"Worth County, IA",2019,7407,Estimate,County
"Worth County, IA",2020,7359,Estimate,County
"Wright County, IA",2015,12843,Estimate,County
"Wright County, IA",2016,12825,Estimate,County
"Wright County, IA",2017,12758,Estimate,County
"Wright County, IA",2018,12669,Estimate,County
"Wright County, IA",2019,12551,Estimate,County
"Wright County, IA",2020,12416,Estimate,County
Kansas,2015,2910717,Estimate,County
Kansas,2016,2912977,Estimate,County
Kansas,2017,2910892,Estimate,County
Kansas,2018,2912748,Estimate,County
Kansas,2019,2912635,Estimate,County
Kansas,2020,2913805,Estimate,County
"Allen County, KS",2015,12680,Estimate,County
"Allen County, KS",2016,12667,Estimate,County
"Allen County, KS",2017,12545,Estimate,County
"Allen County, KS",2018,12500,Estimate,County
"Allen County, KS",2019,12404,Estimate,County
"Allen County, KS",2020,12399,Estimate,County
"Anderson County, KS",2015,7826,Estimate,County
"Anderson County, KS",2016,7828,Estimate,County
"Anderson County, KS",2017,7850,Estimate,County
"Anderson County, KS",2018,7858,Estimate,County
"Anderson County, KS",2019,7899,Estimate,County
"Anderson County, KS",2020,7949,Estimate,County
"Atchison County, KS",2015,16429,Estimate,County
"Atchison County, KS",2016,16376,Estimate,County
"Atchison County, KS",2017,16319,Estimate,County
"Atchison County, KS",2018,16202,Estimate,County
"Atchison County, KS",2019,16138,Estimate,County
"Atchison County, KS",2020,16015,Estimate,County
"Barber County, KS",2015,4824,Estimate,County
"Barber County, KS",2016,4672,Estimate,County
"Barber County, KS",2017,4569,Estimate,County
"Barber County, KS",2018,4462,Estimate,County
"Barber County, KS",2019,4458,Estimate,County
"Barber County, KS",2020,4358,Estimate,County
"Barton County, KS",2015,27164,Estimate,County
"Barton County, KS",2016,26904,Estimate,County
"Barton County, KS",2017,26427,Estimate,County
"Barton County, KS",2018,26120,Estimate,County
"Barton County, KS",2019,25938,Estimate,County
"Barton County, KS",2020,25658,Estimate,County
"Bourbon County, KS",2015,14734,Estimate,County
"Bourbon County, KS",2016,14619,Estimate,County
"Bourbon County, KS",2017,14604,Estimate,County
"Bourbon County, KS",2018,14538,Estimate,County
"Bourbon County, KS",2019,14499,Estimate,County
"Bourbon County, KS",2020,14435,Estimate,County
"Brown County, KS",2015,9710,Estimate,County
"Brown County, KS",2016,9639,Estimate,County
