Description,Year,Population,Count or Estimate,State or County Release
"Coosa County, AL",2017,10724,Estimate,County
"Coosa County, AL",2018,10619,Estimate,County
"Coosa County, AL",2019,10677,Estimate,County
"Coosa County, AL",2020,10650,Estimate,County
"Covington County, AL",2015,37566,Estimate,County
"Covington County, AL",2016,37400,Estimate,County
"Covington County, AL",2017,37077,Estimate,County
"Covington County, AL",2018,36993,Estimate,County
"Covington County, AL",2019,37082,Estimate,County
"Covington County, AL",2020,36930,Estimate,County
"Crenshaw County, AL",2015,13851,Estimate,County
"Crenshaw County, AL",2016,13911,Estimate,County
"Crenshaw County, AL",2017,13871,Estimate,County
"Crenshaw County, AL",2018,13855,Estimate,County
"Crenshaw County, AL",2019,13811,Estimate,County
"Crenshaw County, AL",2020,13681,Estimate,County
"Cullman County, AL",2015,81771,Estimate,County
"Cullman County, AL",2016,82434,Estimate,County
"Cullman County, AL",2017,82830,Estimate,County
"Cullman County, AL",2018,83300,Estimate,County
"Cullman County, AL",2019,83644,Estimate,County
"Cullman County, AL",2020,84515,Estimate,County
"Dale County, AL",2015,49428,Estimate,County
"Dale County, AL",2016,49476,Estimate,County
"Dale County, AL",2017,49467,Estimate,County
"Dale County, AL",2018,49268,Estimate,County
"Dale County, AL",2019,49294,Estimate,County
"Dale County, AL",2020,48959,Estimate,County
"Dallas County, AL",2015,40947,Estimate,County
"Dallas County, AL",2016,40105,Estimate,County
"Dallas County, AL",2017,39263,Estimate,County
"Dallas County, AL",2018,38270,Estimate,County
"Dallas County, AL",2019,37182,Estimate,County
"Dallas County, AL",2020,36098,Estimate,County
"DeKalb County, AL",2015,71065,Estimate,County
"DeKalb County, AL",2016,71116,Estimate,County
"DeKalb County, AL",2017,71441,Estimate,County
"DeKalb County, AL",2018,71430,Estimate,County
"DeKalb County, AL",2019,71506,Estimate,County
"DeKalb County, AL",2020,71658,Estimate,County
"Elmore County, AL",2015,80903,Estimate,County
"Elmore County, AL",2016,81258,Estimate,County
"Elmore County, AL",2017,81452,Estimate,County
"Elmore County, AL",2018,81189,Estimate,County
"Elmore County, AL",2019,81575,Estimate,County
"Elmore County, AL",2020,82158,Estimate,County
"Escambia County, AL",2015,37676,Estimate,County
"Escambia County, AL",2016,37500,Estimate,County
"Escambia County, AL",2017,37010,Estimate,County
"Escambia County, AL",2018,36515,Estimate,County
"Escambia County, AL",2019,36569,Estimate,County
"Escambia County, AL",2020,36281,Estimate,County
"Etowah County, AL",2015,103033,Estimate,County
"Etowah County, AL",2016,102931,Estimate,County
"Etowah County, AL",2017,103076,Estimate,County
"Etowah County, AL",2018,102766,Estimate,County
"Etowah County, AL",2019,102460,Estimate,County
"Etowah County, AL",2020,102371,Estimate,County
"Fayette County, AL",2015,16711,Estimate,County
"Fayette County, AL",2016,16581,Estimate,County
"Fayette County, AL",2017,16478,Estimate,County
"Fayette County, AL",2018,16451,Estimate,County
"Fayette County, AL",2019,16279,Estimate,County
"Fayette County, AL",2020,16241,Estimate,County
"Franklin County, AL",2015,31532,Estimate,County
"Franklin County, AL",2016,31674,Estimate,County
"Franklin County, AL",2017,31670,Estimate,County
"Franklin County, AL",2018,31495,Estimate,County
"Franklin County, AL",2019,31587,Estimate,County
"Franklin County, AL",2020,31507,Estimate,County
"Geneva County, AL",2015,26645,Estimate,County
"Geneva County, AL",2016,26497,Estimate,County
"Geneva County, AL",2017,26404,Estimate,County
"Geneva County, AL",2018,26296,Estimate,County
"Geneva County, AL",2019,26309,Estimate,County
"Geneva County, AL",2020,26411,Estimate,County
"Greene County, AL",2015,8509,Estimate,County
"Greene County, AL",2016,8485,Estimate,County
"Greene County, AL",2017,8312,Estimate,County
"Greene County, AL",2018,8212,Estimate,County
"Greene County, AL",2019,8104,Estimate,County
"Greene County, AL",2020,7990,Estimate,County
"Hale County, AL",2015,15016,Estimate,County
"Hale County, AL",2016,14845,Estimate,County
"Hale County, AL",2017,14812,Estimate,County
"Hale County, AL",2018,14773,Estimate,County
"Hale County, AL",2019,14669,Estimate,County
"Hale County, AL",2020,14670,Estimate,County
"Henry County, AL",2015,17097,Estimate,County
"Henry County, AL",2016,17062,Estimate,County
"Henry County, AL",2017,17105,Estimate,County
"Henry County, AL",2018,17100,Estimate,County
"Henry County, AL",2019,17125,Estimate,County
"Henry County, AL",2020,17223,Estimate,County
"Houston County, AL",2015,104326,Estimate,County
"Houston County, AL",2016,104355,Estimate,County
"Houston County, AL",2017,104472,Estimate,County
"Houston County, AL",2018,104943,Estimate,County
"Houston County, AL",2019,106240,Estimate,County
"Houston County, AL",2020,106580,Estimate,County
"Jackson County, AL",2015,52229,Estimate,County
"Jackson County, AL",2016,52058,Estimate,County
"Jackson County, AL",2017,51865,Estimate,County
"Jackson County, AL",2018,51649,Estimate,County
"Jackson County, AL",2019,51672,Estimate,County
"Jackson County, AL",2020,51582,Estimate,County
"Jefferson County, AL",2015,660717,Estimate,County
"Jefferson County, AL",2016,660507,Estimate,County
"Jefferson County, AL",2017,659892,Estimate,County
"Jefferson County, AL",2018,659672,Estimate,County
"Jefferson County, AL",2019,658539,Estimate,County
"Jefferson County, AL",2020,655342,Estimate,County
"Lamar County, AL",2015,13931,Estimate,County
"Lamar County, AL",2016,13926,Estimate,County
"Lamar County, AL",2017,13885,Estimate,County
"Lamar County, AL",2018,13878,Estimate,County
"Lamar County, AL",2019,13817,Estimate,County
"Lamar County, AL",2020,13764,Estimate,County
"Lauderdale County, AL",2015,92524,Estimate,County
"Lauderdale County, AL",2016,92521,Estimate,County
"Lauderdale County, AL",2017,92701,Estimate,County
"Lauderdale County, AL",2018,92733,Estimate,County
"Lauderdale County, AL",2019,93028,Estimate,County
"Lauderdale County, AL",2020,93368,Estimate,County
"Lawrence County, AL",2015,33116,Estimate,County
"Lawrence County, AL",2016,33196,Estimate,County
"Lawrence County, AL",2017,33035,Estimate,County
"Lawrence County, AL",2018,32905,Estimate,County
"Lawrence County, AL",2019,32851,Estimate,County
"Lawrence County, AL",2020,32857,Estimate,County
"Lee County, AL",2015,157162,Estimate,County
"Lee County, AL",2016,159446,Estimate,County
"Lee County, AL",2017,161808,Estimate,County
"Lee County, AL",2018,164206,Estimate,County
"Lee County, AL",2019,165015,Estimate,County
"Lee County, AL",2020,166831,Estimate,County
"Limestone County, AL",2015,91596,Estimate,County
"Limestone County, AL",2016,92896,Estimate,County
"Limestone County, AL",2017,94144,Estimate,County
"Limestone County, AL",2018,96199,Estimate,County
"Limestone County, AL",2019,99136,Estimate,County
"Limestone County, AL",2020,102228,Estimate,County
"Lowndes County, AL",2015,10350,Estimate,County
"Lowndes County, AL",2016,10245,Estimate,County
"Lowndes County, AL",2017,10100,Estimate,County
"Lowndes County, AL",2018,9969,Estimate,County
"Lowndes County, AL",2019,9726,Estimate,County
"Lowndes County, AL",2020,9641,Estimate,County
"Macon County, AL",2015,19331,Estimate,County
"Macon County, AL",2016,19077,Estimate,County
"Macon County, AL",2017,18828,Estimate,County
"Macon County, AL",2018,18320,Estimate,County
"Macon County, AL",2019,18065,Estimate,County
"Macon County, AL",2020,17895,Estimate,County
"Madison County, AL",2015,353194,Estimate,County
"Madison County, AL",2016,356985,Estimate,County
"Madison County, AL",2017,362061,Estimate,County
"Madison County, AL",2018,367386,Estimate,County
"Madison County, AL",2019,372547,Estimate,County
"Madison County, AL",2020,379453,Estimate,County
"Marengo County, AL",2015,19772,Estimate,County
"Marengo County, AL",2016,19536,Estimate,County
"Marengo County, AL",2017,19411,Estimate,County
"Marengo County, AL",2018,19093,Estimate,County
"Marengo County, AL",2019,18919,Estimate,County
"Marengo County, AL",2020,18733,Estimate,County
"Marion County, AL",2015,30137,Estimate,County
"Marion County, AL",2016,29958,Estimate,County
"Marion County, AL",2017,29825,Estimate,County
"Marion County, AL",2018,29776,Estimate,County
"Marion County, AL",2019,29826,Estimate,County
"Marion County, AL",2020,29703,Estimate,County
"Marshall County, AL",2015,94588,Estimate,County
"Marshall County, AL",2016,95123,Estimate,County
"Marshall County, AL",2017,95589,Estimate,County
"Marshall County, AL",2018,96230,Estimate,County
"Marshall County, AL",2019,96751,Estimate,County
"Marshall County, AL",2020,96990,Estimate,County
"Mobile County, AL",2015,414654,Estimate,County
"Mobile County, AL",2016,415169,Estimate,County
"Mobile County, AL",2017,414209,Estimate,County
"Mobile County, AL",2018,414275,Estimate,County
"Mobile County, AL",2019,413516,Estimate,County
"Mobile County, AL",2020,412716,Estimate,County
"Monroe County, AL",2015,21720,Estimate,County
"Monroe County, AL",2016,21553,Estimate,County
"Monroe County, AL",2017,21294,Estimate,County
"Monroe County, AL",2018,21035,Estimate,County
"Monroe County, AL",2019,20689,Estimate,County
"Monroe County, AL",2020,20459,Estimate,County
"Montgomery County, AL",2015,227420,Estimate,County
"Montgomery County, AL",2016,227398,Estimate,County
"Montgomery County, AL",2017,227514,Estimate,County
"Montgomery County, AL",2018,226631,Estimate,County
"Montgomery County, AL",2019,226074,Estimate,County
"Montgomery County, AL",2020,224639,Estimate,County
"Morgan County, AL",2015,119316,Estimate,County
"Morgan County, AL",2016,119090,Estimate,County
"Morgan County, AL",2017,118940,Estimate,County
"Morgan County, AL",2018,119216,Estimate,County
"Morgan County, AL",2019,119630,Estimate,County
"Morgan County, AL",2020,119883,Estimate,County
"Perry County, AL",2015,9650,Estimate,County
"Perry County, AL",2016,9538,Estimate,County
"Perry County, AL",2017,9304,Estimate,County
"Perry County, AL",2018,9049,Estimate,County
"Perry County, AL",2019,8940,Estimate,County
"Perry County, AL",2020,8687,Estimate,County
"Pickens County, AL",2015,20788,Estimate,County
"Pickens County, AL",2016,20337,Estimate,County
"Pickens County, AL",2017,20224,Estimate,County
"Pickens County, AL",2018,19949,Estimate,County
"Pickens County, AL",2019,19940,Estimate,County
"Pickens County, AL",2020,19793,Estimate,County
"Pike County, AL",2015,33518,Estimate,County
"Pike County, AL",2016,33540,Estimate,County
"Pike County, AL",2017,33441,Estimate,County
"Pike County, AL",2018,33390,Estimate,County
"Pike County, AL",2019,33034,Estimate,County
"Pike County, AL",2020,32966,Estimate,County
"Randolph County, AL",2015,22603,Estimate,County
"Randolph County, AL",2016,22515,Estimate,County
"Randolph County, AL",2017,22702,Estimate,County
"Randolph County, AL",2018,22742,Estimate,County
"Randolph County, AL",2019,22781,Estimate,County
"Randolph County, AL",2020,22920,Estimate,County
"Russell County, AL",2015,58946,Estimate,County
"Russell County, AL",2016,58290,Estimate,County
"Russell County, AL",2017,57134,Estimate,County
"Russell County, AL",2018,57933,Estimate,County
"Russell County, AL",2019,58098,Estimate,County
"Russell County, AL",2020,58237,Estimate,County
"St. Clair County, AL",2015,86569,Estimate,County
"St. Clair County, AL",2016,87342,Estimate,County
"St. Clair County, AL",2017,87985,Estimate,County
"St. Clair County, AL",2018,88842,Estimate,County
"St. Clair County, AL",2019,89735,Estimate,County
"St. Clair County, AL",2020,90739,Estimate,County
"Shelby County, AL",2015,209047,Estimate,County
"Shelby County, AL",2016,211538,Estimate,County
"Shelby County, AL",2017,213854,Estimate,County
"Shelby County, AL",2018,215877,Estimate,County
"Shelby County, AL",2019,218176,Estimate,County
"Shelby County, AL",2020,221428,Estimate,County
"Sumter County, AL",2015,13212,Estimate,County
"Sumter County, AL",2016,12973,Estimate,County
"Sumter County, AL",2017,12756,Estimate,County
"Sumter County, AL",2018,12661,Estimate,County
"Sumter County, AL",2019,12358,Estimate,County
"Sumter County, AL",2020,12225,Estimate,County
"Talladega County, AL",2015,81168,Estimate,County
"Talladega County, AL",2016,80598,Estimate,County
"Talladega County, AL",2017,80192,Estimate,County
"Talladega County, AL",2018,80219,Estimate,County
"Talladega County, AL",2019,80226,Estimate,County
"Talladega County, AL",2020,79985,Estimate,County
"Tallapoosa County, AL",2015,40628,Estimate,County
"Tallapoosa County, AL",2016,40607,Estimate,County
"Tallapoosa County, AL",2017,40624,Estimate,County
"Tallapoosa County, AL",2018,40550,Estimate,County
"Tallapoosa County, AL",2019,40337,Estimate,County
"Tallapoosa County, AL",2020,40133,Estimate,County
"Tuscaloosa County, AL",2015,204953,Estimate,County
"Tuscaloosa County, AL",2016,206737,Estimate,County
"Tuscaloosa County, AL",2017,207849,Estimate,County
"Tuscaloosa County, AL",2018,208607,Estimate,County
"Tuscaloosa County, AL",2019,210321,Estimate,County
"Tuscaloosa County, AL",2020,210758,Estimate,County
"Walker County, AL",2015,64950,Estimate,County
"Walker County, AL",2016,64559,Estimate,County
"Walker County, AL",2017,63929,Estimate,County
"Walker County, AL",2018,63701,Estimate,County
"Walker County, AL",2019,63680,Estimate,County
"Walker County, AL",2020,63143,Estimate,County
"Washington County, AL",2015,16831,Estimate,County
"Washington County, AL",2016,16607,Estimate,County
"Washington County, AL",2017,16484,Estimate,County
"Washington County, AL",2018,16336,Estimate,County
"Washington County, AL",2019,16279,Estimate,County
"Washington County, AL",2020,15976,Estimate,County
"Wilcox County, AL",2015,10900,Estimate,County
"Wilcox County, AL",2016,10860,Estimate,County
"Wilcox County, AL",2017,10704,Estimate,County
"Wilcox County, AL",2018,10592,Estimate,County
"Wilcox County, AL",2019,10396,Estimate,County
"Wilcox County, AL",2020,10206,Estimate,County
"Winston County, AL",2015,23929,Estimate,County
