Date_parsed,State,Year,Month,Data Value,State Name
2018-01-01,AL,2018,January,785.0,Alabama
2018-07-01,AL,2018,July,759.0,Alabama
2018-06-01,AL,2018,June,764.0,Alabama
2018-03-01,AL,2018,March,785.0,Alabama
2018-05-01,AL,2018,May,787.0,Alabama
2018-11-01,AL,2018,November,744.0,Alabama
2018-10-01,AL,2018,October,751.0,Alabama
2018-09-01,AL,2018,September,754.0,Alabama
2019-04-01,AL,2019,April,699.0,Alabama
2019-08-01,AL,2019,August,731.0,Alabama
2019-12-01,AL,2019,December,739.0,Alabama
2019-02-01,AL,2019,February,703.0,Alabama
2019-01-01,AL,2019,January,724.0,Alabama
2019-07-01,AL,2019,July,715.0,Alabama
2019-06-01,AL,2019,June,720.0,Alabama
2019-03-01,AL,2019,March,701.0,Alabama
2019-05-01,AL,2019,May,699.0,Alabama
2019-11-01,AL,2019,November,750.0,Alabama
2019-10-01,AL,2019,October,743.0,Alabama
2019-09-01,AL,2019,September,719.0,Alabama
2020-04-01,AL,2020,April,826.0,Alabama
2020-08-01,AL,2020,August,934.0,Alabama
2020-12-01,AL,2020,December,989.0,Alabama
2020-02-01,AL,2020,February,772.0,Alabama
2020-01-01,AL,2020,January,754.0,Alabama
2020-07-01,AL,2020,July,919.0,Alabama
2020-06-01,AL,2020,June,902.0,Alabama
2020-03-01,AL,2020,March,791.0,Alabama
2020-05-01,AL,2020,May,879.0,Alabama
2020-11-01,AL,2020,November,960.0,Alabama
2020-10-01,AL,2020,October,946.0,Alabama
2020-09-01,AL,2020,September,952.0,Alabama
2021-02-01,AL,2021,February,1033.0,Alabama
2021-01-01,AL,2021,January,1026.0,Alabama
2021-03-01,AL,2021,March,1064.0,Alabama
2015-04-01,AR,2015,April,373.0,Arkansas
2015-08-01,AR,2015,August,398.0,Arkansas
2015-12-01,AR,2015,December,381.0,Arkansas
2015-02-01,AR,2015,February,366.0,Arkansas
2015-01-01,AR,2015,January,366.0,Arkansas
2015-07-01,AR,2015,July,395.0,Arkansas
2015-06-01,AR,2015,June,391.0,Arkansas
2015-03-01,AR,2015,March,385.0,Arkansas
2015-05-01,AR,2015,May,383.0,Arkansas
2015-11-01,AR,2015,November,389.0,Arkansas
2015-10-01,AR,2015,October,397.0,Arkansas
2015-09-01,AR,2015,September,392.0,Arkansas
2016-04-01,AR,2016,April,372.0,Arkansas
2016-08-01,AR,2016,August,383.0,Arkansas
2016-12-01,AR,2016,December,386.0,Arkansas
2016-02-01,AR,2016,February,379.0,Arkansas
2016-01-01,AR,2016,January,378.0,Arkansas
2016-07-01,AR,2016,July,378.0,Arkansas
2016-06-01,AR,2016,June,369.0,Arkansas
